submission_week,total_decided,within_sla,breached_sla,sla_compliance_pct,avg_elapsed_hrs,total_denied,denial_rate_pct
2025-09-29,1268,854,414,67.35,54.76,380,29.97
2025-10-06,1800,1165,635,64.72,58.64,553,30.72
2025-10-13,1897,1263,634,66.58,56.42,613,32.31
2025-10-20,1873,1257,616,67.11,56.15,586,31.29
2025-10-27,1764,1184,580,67.12,56.74,540,30.61
2025-11-03,1811,1219,592,67.31,57.15,546,30.15
2025-11-10,1809,1148,661,63.46,58.57,541,29.91
2025-11-17,1822,1224,598,67.18,57.42,519,28.49
2025-11-24,1769,1174,595,66.37,57.87,527,29.79
2025-12-01,1788,1168,620,65.32,57.51,527,29.47
2025-12-08,1779,1139,640,64.02,57.65,513,28.84
2025-12-15,1746,1152,594,65.98,57.92,524,30.01
2025-12-22,1859,1232,627,66.27,56.44,532,28.62
2025-12-29,1796,1229,567,68.43,56.08,526,29.29
2026-01-05,1805,1185,620,65.65,57.41,531,29.42
2026-01-12,1807,1193,614,66.02,57.34,546,30.22
2026-01-19,1801,1193,608,66.24,56.52,528,29.32
2026-01-26,1732,1144,588,66.05,57.53,540,31.18
2026-02-02,1773,1158,615,65.31,57.28,526,29.67
2026-02-09,1759,1156,603,65.72,57.72,516,29.33
2026-02-16,1751,1160,591,66.25,59.34,503,28.73
2026-02-23,1731,1144,587,66.09,56.79,517,29.87
2026-03-02,1801,1187,614,65.91,56.67,553,30.71
2026-03-09,1813,1192,621,65.75,57.85,515,28.41
2026-03-16,1732,1127,605,65.07,57.05,556,32.1
2026-03-23,1654,1115,539,67.41,56.67,483,29.2
